uid;error_id;start_vid;end_vid;error_val;type;level;geom
676466-644806;;676466;644806;0;No error;5;0104000020E6100000020000000101000000BA75EDC19AC961400729780AB93D40C00101000000CDBFA78306C761408C3DC5BB6D4340C0
85605-1668189;;85605;1668189;0;No error;5;0104000020E61000000200000001010000000E76D4E2DDDB624022E9899DDFE540C00101000000FC0BF3D4D9DB62403FE257ACE1E540C0
1796994-80750;;1796994;80750;0;No error;3;0104000020E61000000200000001010000009FB93DF794E66240EB79ED88F9E240C00101000000AA656B7D91E662406005F86EF3E240C0
401905-419798;;401905;419798;0;No error;4;0104000020E6100000020000000101000000BC49C27410B66240355C89E53B6041C0010100000073EC455924B662404190CD9F805F41C0
200918-376443;256;200918;376443;100;Error;4;0104000020E61000000200000001010000009FED2CD5208562404EEBDBEE8AF240C00101000000DAC3036F2D85624028F04E3E3DF240C0
135350-2116012;556;135350;2116012;100;Error;5;0104000020E61000000200000001010000002C89473D9FA4624095511B8B5CA841C001010000003D36B863A0A462404225AE635CA841C0
559742-524349;;559742;524349;0;No error;5;0104000020E610000002000000010100000022478490BDAE614073DE5A817CF63FC00101000000113BAEA1AFAE6140F975960FF7F53FC0
1457666-1439300;;1457666;1439300;0;No error;5;0104000020E6100000020000000101000000D4F59F9038426240613024CC592541C001010000007C8F447930426240C98FF8156B2541C0
1956859-2010353;;1956859;2010353;0;No error;5;0104000020E61000000200000001010000009D989AA935166340A4891CC7B47B3FC0010100000054DA2CA8391663409D64ABCB29813FC0
2072686-2277458;;2072686;2277458;0;No error;5;0104000020E61000000200000001010000000BB8E7F913D86240CB90195EFF4741C00101000000ADF6B0170AD862408B7FE9FEFB4741C0
2262348-2246738;992;2262348;2246738;100;Error;5;0104000020E610000002000000010100000011830A583C0B63401355AEA6A1A63FC00101000000AC9C07C1340B634062FC8FA740A93FC0
1659288-34747;359;1659288;34747;100;Error;4;0104000020E610000002000000010100000098BED710DCE162405F6A3AF18BEF40C00101000000D8D3B3C5DAE16240AD0DBA298AEF40C0
1259163-1268027;576;1259163;1268027;100;Error;5;0104000020E610000002000000010100000005B28D2EA5866240F1C80EE0E39340C00101000000FCA2A94393866240FE800706109540C0
1372537-1380511;815;1372537;1380511;100;Error;5;0104000020E61000000200000001010000001215AA9B0BF46240ECE4C237035140C00101000000E525FF93FFF3624097E5EB32FC5040C0
1826961-1886287;523;1826961;1886287;100;Error;5;0104000020E610000002000000010100000005EBEEF00DBF61404374081C090D41C00101000000C39F3C870DBF614016A6EF35040D41C0
1738809-2211645;;1738809;2211645;0;No error;5;0104000020E610000002000000010100000062E822CFBF86624082AE7D01BDC141C00101000000725B11EBC3866240A1D1C20A5CBF41C0
1815137-1814412;916;1815137;1814412;100;Error;5;0104000020E610000002000000010100000044B3FC0A631963405FA6DC33011B3FC001010000007FA081FD7C19634058D00F7E3D1A3FC0
1509496-1867359;841;1509496;1867359;100;Error;5;0104000020E6100000020000000101000000024697370730634066AABB0DC5E63CC00101000000A5E892BB19306340FA9F5797AEE53CC0
266433-258044;;266433;258044;0;No error;5;0104000020E6100000020000000101000000DA92B0CA20A96240624A24D1CB4042C00101000000D1BD3DBE33A962401E1F88878B4042C0
1130855-1138134;;1130855;1138134;0;No error;5;0104000020E6100000020000000101000000F0B3DB7881106340768BC058DF1740C001010000001FD61BB582106340C9CB9A58E01740C0
1850807-1886922;925;1850807;1886922;100;Error;5;0104000020E6100000020000000101000000396A3B5C21AB62403C180C09733A42C00101000000EA807FA50EAC624046EEE9EA8E3B42C0
1353804-1929900;;1353804;1929900;0;No error;5;0104000020E61000000200000001010000000CD41863161A634092B1DAFCBF923FC001010000003E14BB6CEA196340EAC3C43071933FC0
24174-20068;;24174;20068;0;No error;5;0104000020E61000000200000001010000001CBFA6BD77D362404B30E6F8B26A41C00101000000EE105A6A58D362405A3C0675DB6A41C0
62660-126731;556;62660;126731;70;Near error;5;0104000020E61000000200000001010000004A3C45B397A46240959C137B68A841C00101000000D26B58F89FA46240972F794D59A841C0
103054-142802;601;103054;142802;70;Near error;5;0104000020E6100000020000000101000000314514EEB0706240131159FF423941C001010000006144EC5DCD7062400C2F771CF53841C0
11519-1592561;;11519;1592561;0;No error;5;0104000020E61000000200000001010000005D925E2F688B6240F95404EE2FCC41C001010000005E5441FBC7896240E729615C60C841C0
190776-4813;;190776;4813;0;No error;5;0104000020E610000002000000010100000000C79E3D57DA624086CEC6A585E440C00101000000AFEDED9664DA6240F0952F1E94E440C0
390215-393978;659;390215;393978;100;Error;5;0104000020E61000000200000001010000007F8461C0D2B76240E558839C9C5F41C0010100000067FADB54D3B76240230D13B2985F41C0
467687-652351;671;467687;652351;70;Near error;5;0104000020E61000000200000001010000001B44108CE8EF62401DDB7C6D477040C00101000000B17D12E948EF6240BAEA4B80AB6F40C0
483352-484795;;483352;484795;0;No error;5;0104000020E61000000200000001010000006CE3F49AC3B26240B092EA9678B640C001010000001E86FB6DB4B26240A05A33E83AB640C0
636620-603516;676;636620;603516;70;Near error;5;0104000020E6100000020000000101000000827D2A5DB0AB62401015F428A6CA40C00101000000F19991E6B4AB62407DEC2E5052CA40C0
680059-36111;;680059;36111;0;No error;5;0104000020E6100000020000000101000000532E43D25DD86240A51133FB3C0B41C00101000000EA9788B78ED86240B256A30D760B41C0
15130-1688535;;15130;1688535;0;No error;5;0104000020E6100000020000000101000000F7730AF2B392624044B467E091F441C001010000007BB2AC451594624043E158BCFDFB41C0
971662-1565594;756;971662;1565594;70;Near error;5;0104000020E61000000200000001010000000D497721E7036340EA6F534D5AE43FC00101000000BC687EEBF90363409514B3B9C5E53FC0
1033104-1020998;762;1033104;1020998;100;Error;5;0104000020E6100000020000000101000000A014522399136340BDBA74DDA5643CC00101000000F94F920993136340FB2C85F6A0643CC0
17387-1479354;835;17387;1479354;70;Near error;5;0104000020E61000000200000001010000003491E398B6EC62409B38B9DFA1A040C001010000003846578EF5EB624059FB3BDBA3A040C0
22914-1496427;;22914;1496427;0;No error;5;0104000020E6100000020000000101000000256F25E03CE962407BA75DA7EC9C40C001010000005DA0490750EA624017BE1990189D40C0
27664-1479354;;27664;1479354;0;No error;5;0104000020E6100000020000000101000000C22275F12DED62407912C7702B9D40C001010000003846578EF5EB624059FB3BDBA3A040C0
378337-380239;;378337;380239;0;No error;5;0104000020E61000000200000001010000008EFDD1DC2F85624077BF0AF0DDF140C001010000001E520C9028856240284B08B18EF240C0
387465-437591;;387465;437591;0;No error;5;0104000020E6100000020000000101000000119A136A3CB262400B96EA025E5042C00101000000B59EC66240B26240EEF8E582E94F42C0
531604-1711015;;531604;1711015;0;No error;5;0104000020E610000002000000010100000010C589543D86624046DE8321BCB941C0010100000036A2C56310876240F42D1801BABC41C0
883401-878240;611;883401;878240;70;Near error;5;0104000020E6100000020000000101000000D2EFB1AA94D6624061BB20C77BC03EC0010100000007921C55B2D66240B3AB353921BF3EC0
1339733-1343766;;1339733;1343766;0;No error;5;0104000020E61000000200000001010000008527F4FA53E66240AA0CE36E10DF40C001010000005DC6A8C666E66240B3AA6FAAFFDE40C0
966481-461112;;966481;461112;0;No error;5;0104000020E610000002000000010100000019D1D10550BF6240F19991E6346E40C001010000004CFDBCA908BF624037EAD78CC26E40C0
1015779-1686192;760;1015779;1686192;70;Near error;5;0104000020E61000000200000001010000007CF1457B3CC762405B9B21B0CD5241C00101000000D578E92631C76240D11ED4EA505441C0
1537815-1533468;;1537815;1533468;0;No error;5;0104000020E6100000020000000101000000C0513C78B76D6240A2D86553093E41C00101000000ACDD1BE8466C6240EF2B20FEAB4041C0
1718733-2211645;893;1718733;2211645;70;Near error;5;0104000020E61000000200000001010000003F32C280CA8662406AB1CA3B3DBF41C00101000000725B11EBC3866240A1D1C20A5CBF41C0
1751809-1115258;;1751809;1115258;0;No error;5;0104000020E61000000200000001010000002516421809AA6240FCD52D4CF0B240C001010000008115962E33AA62405260014C19B340C0
1150958-1146768;;1150958;1146768;0;No error;5;0104000020E610000002000000010100000090FBB1A4B7E86240BAE2981BC29440C00101000000FA754C82DCE8624026FDBD141E9540C0
1181803-2082681;788;1181803;2082681;70;Near error;5;0104000020E610000002000000010100000096DBACB08FBE6240D5A01E91A5993EC00101000000A21EEC5E78BE62404CB49A649A993EC0
1340173-481742;678;1340173;481742;70;Near error;5;0104000020E6100000020000000101000000FDFA7CEF4AF76240DC9E20B1DD5440C0010100000004BC163E6CF76240DD932CCCE75440C0
1349554-1929900;;1349554;1929900;0;No error;5;0104000020E6100000020000000101000000EFAE0EDB311A634041FCB26AC6923FC001010000003E14BB6CEA196340EAC3C43071933FC0
1503050-45549;;1503050;45549;0;No error;5;0104000020E6100000020000000101000000E6E555425CEA624067C7574CB69A40C00101000000B1863023A1E96240D74B5304389D40C0
1622453-875624;;1622453;875624;0;No error;5;0104000020E610000002000000010100000068C5DC5A4B1D6340EB26E77A914B3EC00101000000EE7BD45F2F1E63400F60915F3F483EC0
2085483-1611617;865;2085483;1611617;100;Error;5;0104000020E61000000200000001010000009B2F40EC5679624038B066AE1D0141C00101000000E3E13D0756796240D24C9C81360141C0
